|intrinsics|ASM|XED_iform|ISA|CPUID|form|ret|op
196|_mm256_add_epi32|VPADDD|VPADDD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
197|_mm256_add_epi64|VPADDQ|VPADDQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
198|_mm256_adds_epi8|VPADDSB|VPADDSB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
199|_mm256_adds_epi16|VPADDSW|VPADDSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
200|_mm256_adds_epu8|VPADDUSB|VPADDUSB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
201|_mm256_adds_epu16|VPADDUSW|VPADDUSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
202|_mm256_alignr_epi8|VPALIGNR|VPALIGNR_YMMqq_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,const int,
203|_mm256_and_si256|VPAND|VPAND_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
204|_mm256_andnot_si256|VPANDN|VPANDN_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
205|_mm256_avg_epu8|VPAVGB|VPAVGB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
206|_mm256_avg_epu16|VPAVGW|VPAVGW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
207|_mm256_blend_epi16|VPBLENDW|VPBLENDW_YMMqq_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,const int,
208|_mm_blend_epi32|VPBLENDD|VPBLENDD_XMMdq_XMMdq_XMMdq_IMMb|AVX2|['AVX2']|xmm, xmm, xmm, imm8|__m128i|__m128i,__m128i,const int,
209|_mm256_blend_epi32|VPBLENDD|VPBLENDD_YMMqq_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,const int,
210|_mm256_blendv_epi8|VPBLENDVB|VPBLENDVB_YMMqq_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm, ymm|__m256i|__m256i,__m256i,__m256i,
211|_mm_broadcastb_epi8|VPBROADCASTB|VPBROADCASTB_XMMdq_XMMb|AVX2|['AVX2']|xmm, xmm|__m128i|__m128i,
212|_mm256_broadcastb_epi8|VPBROADCASTB|VPBROADCASTB_YMMqq_XMMb|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
213|_mm_broadcastd_epi32|VPBROADCASTD|VPBROADCASTD_XMMdq_XMMd|AVX2|['AVX2']|xmm, xmm|__m128i|__m128i,
214|_mm256_broadcastd_epi32|VPBROADCASTD|VPBROADCASTD_YMMqq_XMMd|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
215|_mm_broadcastq_epi64|VPBROADCASTQ|VPBROADCASTQ_XMMdq_XMMq|AVX2|['AVX2']|xmm, xmm|__m128i|__m128i,
216|_mm256_broadcastq_epi64|VPBROADCASTQ|VPBROADCASTQ_YMMqq_XMMq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
217|_mm_broadcastsd_pd|MOVDDUP|MOVDDUP_XMMdq_XMMq|AVX2|['AVX2']|xmm, xmm|__m128d|__m128d,
218|_mm256_broadcastsd_pd|VBROADCASTSD|VBROADCASTSD_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256d|__m128d,
219|_mm_broadcastsi128_si256|VBROADCASTI128|VBROADCASTI128_YMMqq_MEMdq|AVX2|['AVX2']|ymm, m128|__m256i|__m128i,
220|_mm256_broadcastsi128_si256|VBROADCASTI128|VBROADCASTI128_YMMqq_MEMdq|AVX2|['AVX2']|ymm, m128|__m256i|__m128i,
221|_mm_broadcastss_ps|VBROADCASTSS|VBROADCASTSS_XMMdq_XMMdq|AVX2|['AVX2']|xmm, xmm|__m128|__m128,
222|_mm256_broadcastss_ps|VBROADCASTSS|VBROADCASTSS_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256|__m128,
223|_mm_broadcastw_epi16|VPBROADCASTW|VPBROADCASTW_XMMdq_XMMw|AVX2|['AVX2']|xmm, xmm|__m128i|__m128i,
224|_mm256_broadcastw_epi16|VPBROADCASTW|VPBROADCASTW_YMMqq_XMMw|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
225|_mm256_cmpeq_epi8|VPCMPEQB|VPCMPEQB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
226|_mm256_cmpeq_epi16|VPCMPEQW|VPCMPEQW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
227|_mm256_cmpeq_epi32|VPCMPEQD|VPCMPEQD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
228|_mm256_cmpeq_epi64|VPCMPEQQ|VPCMPEQQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
229|_mm256_cmpgt_epi8|VPCMPGTB|VPCMPGTB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
230|_mm256_cmpgt_epi16|VPCMPGTW|VPCMPGTW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
231|_mm256_cmpgt_epi32|VPCMPGTD|VPCMPGTD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
232|_mm256_cmpgt_epi64|VPCMPGTQ|VPCMPGTQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
233|_mm256_cvtepi16_epi32|VPMOVSXWD|VPMOVSXWD_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
234|_mm256_cvtepi16_epi64|VPMOVSXWQ|VPMOVSXWQ_YMMqq_XMMq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
235|_mm256_cvtepi32_epi64|VPMOVSXDQ|VPMOVSXDQ_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
236|_mm256_cvtepi8_epi16|VPMOVSXBW|VPMOVSXBW_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
237|_mm256_cvtepi8_epi32|VPMOVSXBD|VPMOVSXBD_YMMqq_XMMq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
238|_mm256_cvtepi8_epi64|VPMOVSXBQ|VPMOVSXBQ_YMMqq_XMMd|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
239|_mm256_cvtepu16_epi32|VPMOVZXWD|VPMOVZXWD_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
240|_mm256_cvtepu16_epi64|VPMOVZXWQ|VPMOVZXWQ_YMMqq_XMMq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
241|_mm256_cvtepu32_epi64|VPMOVZXDQ|VPMOVZXDQ_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
242|_mm256_cvtepu8_epi16|VPMOVZXBW|VPMOVZXBW_YMMqq_XMMdq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
243|_mm256_cvtepu8_epi32|VPMOVZXBD|VPMOVZXBD_YMMqq_XMMq|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
244|_mm256_cvtepu8_epi64|VPMOVZXBQ|VPMOVZXBQ_YMMqq_XMMd|AVX2|['AVX2']|ymm, xmm|__m256i|__m128i,
245|_mm256_extracti128_si256|VEXTRACTI128|VEXTRACTI128_XMMdq_YMMqq_IMMb|AVX2|['AVX2']|xmm, ymm, imm8|__m128i|__m256i,const int,
246|_mm256_hadd_epi16|VPHADDW|VPHADDW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
247|_mm256_hadd_epi32|VPHADDD|VPHADDD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
248|_mm256_hadds_epi16|VPHADDSW|VPHADDSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
249|_mm256_hsub_epi16|VPHSUBW|VPHSUBW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
250|_mm256_hsub_epi32|VPHSUBD|VPHSUBD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
251|_mm256_hsubs_epi16|VPHSUBSW|VPHSUBSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
252|_mm_i32gather_pd|VGATHERDPD|VGATHERDPD_XMMf64_MEMf64_XMMi64_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128d|double const*,__m128i,const int,
253|_mm256_i32gather_pd|VGATHERDPD|VGATHERDPD_YMMf64_MEMf64_YMMi64_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256d|double const*,__m128i,const int,
254|_mm_i32gather_ps|VGATHERDPS|VGATHERDPS_XMMf32_MEMf32_XMMi32_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128|float const*,__m128i,const int,
255|_mm256_i32gather_ps|VGATHERDPS|VGATHERDPS_YMMf32_MEMf32_YMMi32_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256|float const*,__m256i,const int,
256|_mm_i32gather_epi32|VPGATHERDD|VPGATHERDD_XMMu32_MEMd_XMMi32_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128i|int const*,__m128i,const int,
257|_mm256_i32gather_epi32|VPGATHERDD|VPGATHERDD_YMMu32_MEMd_YMMi32_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256i|int const*,__m256i,const int,
258|_mm_i32gather_epi64|VPGATHERDQ|VPGATHERDQ_XMMu64_MEMq_XMMi64_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128i|__int64 const*,__m128i,const int,
259|_mm256_i32gather_epi64|VPGATHERDQ|VPGATHERDQ_YMMu64_MEMq_YMMi64_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256i|__int64 const*,__m128i,const int,
260|_mm_i64gather_pd|VGATHERQPD|VGATHERQPD_XMMf64_MEMf64_XMMi64_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128d|double const*,__m128i,const int,
261|_mm256_i64gather_pd|VGATHERQPD|VGATHERQPD_YMMf64_MEMf64_YMMi64_VL256|AVX2|['AVX2']|ymm, vm64x, ymm|__m256d|double const*,__m256i,const int,
262|_mm_i64gather_ps|VGATHERQPS|VGATHERQPS_XMMf32_MEMf32_XMMi32_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128|float const*,__m128i,const int,
263|_mm256_i64gather_ps|VGATHERQPS|VGATHERQPS_XMMf32_MEMf32_XMMi32_VL256|AVX2|['AVX2']|xmm, vm64y, xmm|__m128|float const*,__m256i,const int,
264|_mm_i64gather_epi32|VPGATHERQD|VPGATHERQD_XMMu32_MEMd_XMMi32_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128i|int const*,__m128i,const int,
265|_mm256_i64gather_epi32|VPGATHERQD|VPGATHERQD_XMMu32_MEMd_XMMi32_VL256|AVX2|['AVX2']|xmm, vm64y, xmm|__m128i|int const*,__m256i,const int,
266|_mm_i64gather_epi64|VPGATHERQQ|VPGATHERQQ_XMMu64_MEMq_XMMi64_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128i|__int64 const*,__m128i,const int,
267|_mm256_i64gather_epi64|VPGATHERQQ|VPGATHERQQ_YMMu64_MEMq_YMMi64_VL256|AVX2|['AVX2']|ymm, vm64x, ymm|__m256i|__int64 const*,__m256i,const int,
268|_mm256_inserti128_si256|VINSERTI128|VINSERTI128_YMMqq_YMMqq_XMMdq_IMMb|AVX2|['AVX2']|ymm, ymm, xmm, imm8|__m256i|__m256i,__m128i,const int,
269|_mm256_madd_epi16|VPMADDWD|VPMADDWD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
270|_mm256_maddubs_epi16|VPMADDUBSW|VPMADDUBSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
271|_mm_mask_i32gather_pd|VGATHERDPD|VGATHERDPD_XMMf64_MEMf64_XMMi64_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128d|__m128d,double const*,__m128i,__m128d,const int,
272|_mm256_mask_i32gather_pd|VGATHERDPD|VGATHERDPD_YMMf64_MEMf64_YMMi64_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256d|__m256d,double const*,__m128i,__m256d,const int,
273|_mm_mask_i32gather_ps|VGATHERDPS|VGATHERDPS_XMMf32_MEMf32_XMMi32_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128|__m128,float const*,__m128i,__m128,const int,
274|_mm256_mask_i32gather_ps|VGATHERDPS|VGATHERDPS_YMMf32_MEMf32_YMMi32_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256|__m256,float const*,__m256i,__m256,const int,
275|_mm_mask_i32gather_epi32|VPGATHERDD|VPGATHERDD_XMMu32_MEMd_XMMi32_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128i|__m128i,int const*,__m128i,__m128i,const int,
276|_mm256_mask_i32gather_epi32|VPGATHERDD|VPGATHERDD_YMMu32_MEMd_YMMi32_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256i|__m256i,int const*,__m256i,__m256i,const int,
277|_mm_mask_i32gather_epi64|VPGATHERDQ|VPGATHERDQ_XMMu64_MEMq_XMMi64_VL128|AVX2|['AVX2']|xmm, vm32x, xmm|__m128i|__m128i,__int64 const*,__m128i,__m128i,const int,
278|_mm256_mask_i32gather_epi64|VPGATHERDQ|VPGATHERDQ_YMMu64_MEMq_YMMi64_VL256|AVX2|['AVX2']|ymm, vm32x, ymm|__m256i|__m256i,__int64 const*,__m128i,__m256i,const int,
279|_mm_mask_i64gather_pd|VGATHERQPD|VGATHERQPD_XMMf64_MEMf64_XMMi64_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128d|__m128d,double const*,__m128i,__m128d,const int,
280|_mm256_mask_i64gather_pd|VGATHERQPD|VGATHERQPD_YMMf64_MEMf64_YMMi64_VL256|AVX2|['AVX2']|ymm, vm64x, ymm|__m256d|__m256d,double const*,__m256i,__m256d,const int,
281|_mm_mask_i64gather_ps|VGATHERQPS|VGATHERQPS_XMMf32_MEMf32_XMMi32_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128|__m128,float const*,__m128i,__m128,const int,
282|_mm256_mask_i64gather_ps|VGATHERQPS|VGATHERQPS_XMMf32_MEMf32_XMMi32_VL256|AVX2|['AVX2']|xmm, vm64y, xmm|__m128|__m128,float const*,__m256i,__m128,const int,
283|_mm_mask_i64gather_epi32|VPGATHERQD|VPGATHERQD_XMMu32_MEMd_XMMi32_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128i|__m128i,int const*,__m128i,__m128i,const int,
284|_mm256_mask_i64gather_epi32|VPGATHERQD|VPGATHERQD_XMMu32_MEMd_XMMi32_VL256|AVX2|['AVX2']|xmm, vm64y, xmm|__m128i|__m128i,int const*,__m256i,__m128i,const int,
285|_mm_mask_i64gather_epi64|VPGATHERQQ|VPGATHERQQ_XMMu64_MEMq_XMMi64_VL128|AVX2|['AVX2']|xmm, vm64x, xmm|__m128i|__m128i,__int64 const*,__m128i,__m128i,const int,
286|_mm256_mask_i64gather_epi64|VPGATHERQQ|VPGATHERQQ_YMMu64_MEMq_YMMi64_VL256|AVX2|['AVX2']|ymm, vm64x, ymm|__m256i|__m256i,__int64 const*,__m256i,__m256i,const int,
287|_mm_maskload_epi32|VPMASKMOVD|VPMASKMOVD_XMMdq_XMMdq_MEMdq|AVX2|['AVX2']|xmm, xmm, m128|__m128i|int const*,__m128i,
288|_mm256_maskload_epi32|VPMASKMOVD|VPMASKMOVD_YMMqq_YMMqq_MEMqq|AVX2|['AVX2']|ymm, ymm, m256|__m256i|int const*,__m256i,
289|_mm_maskload_epi64|VPMASKMOVQ|VPMASKMOVQ_XMMdq_XMMdq_MEMdq|AVX2|['AVX2']|xmm, xmm, m128|__m128i|__int64 const*,__m128i,
290|_mm256_maskload_epi64|VPMASKMOVQ|VPMASKMOVQ_YMMqq_YMMqq_MEMqq|AVX2|['AVX2']|ymm, ymm, m256|__m256i|__int64 const*,__m256i,
291|_mm_maskstore_epi32|VPMASKMOVD|VPMASKMOVD_MEMdq_XMMdq_XMMdq|AVX2|['AVX2']|m128, xmm, xmm|void|int*,__m128i,__m128i,
292|_mm256_maskstore_epi32|VPMASKMOVD|VPMASKMOVD_MEMqq_YMMqq_YMMqq|AVX2|['AVX2']|m256, ymm, ymm|void|int*,__m256i,__m256i,
293|_mm_maskstore_epi64|VPMASKMOVQ|VPMASKMOVQ_MEMdq_XMMdq_XMMdq|AVX2|['AVX2']|m128, xmm, xmm|void|__int64*,__m128i,__m128i,
294|_mm256_maskstore_epi64|VPMASKMOVQ|VPMASKMOVQ_MEMqq_YMMqq_YMMqq|AVX2|['AVX2']|m256, ymm, ymm|void|__int64*,__m256i,__m256i,
295|_mm256_max_epi8|VPMAXSB|VPMAXSB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
296|_mm256_max_epi16|VPMAXSW|VPMAXSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
297|_mm256_max_epi32|VPMAXSD|VPMAXSD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
298|_mm256_max_epu8|VPMAXUB|VPMAXUB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
299|_mm256_max_epu16|VPMAXUW|VPMAXUW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
300|_mm256_max_epu32|VPMAXUD|VPMAXUD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
301|_mm256_min_epi8|VPMINSB|VPMINSB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
302|_mm256_min_epi16|VPMINSW|VPMINSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
303|_mm256_min_epi32|VPMINSD|VPMINSD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
304|_mm256_min_epu8|VPMINUB|VPMINUB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
305|_mm256_min_epu16|VPMINUW|VPMINUW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
306|_mm256_min_epu32|VPMINUD|VPMINUD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
307|_mm256_movemask_epi8|VPMOVMSKB|VPMOVMSKB_GPR32d_YMMqq|AVX2|['AVX2']|r32, ymm|int|__m256i,
308|_mm256_mpsadbw_epu8|VMPSADBW|VMPSADBW_YMMqq_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,const int,
309|_mm256_mul_epi32|VPMULDQ|VPMULDQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
310|_mm256_mul_epu32|VPMULUDQ|VPMULUDQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
311|_mm256_mulhi_epi16|VPMULHW|VPMULHW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
312|_mm256_mulhi_epu16|VPMULHUW|VPMULHUW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
313|_mm256_mulhrs_epi16|VPMULHRSW|VPMULHRSW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
314|_mm256_mullo_epi16|VPMULLW|VPMULLW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
315|_mm256_mullo_epi32|VPMULLD|VPMULLD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
316|_mm256_or_si256|VPOR|VPOR_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
317|_mm256_packs_epi16|VPACKSSWB|VPACKSSWB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
318|_mm256_packs_epi32|VPACKSSDW|VPACKSSDW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
319|_mm256_packus_epi16|VPACKUSWB|VPACKUSWB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
320|_mm256_packus_epi32|VPACKUSDW|VPACKUSDW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
321|_mm256_permute2x128_si256|VPERM2I128|VPERM2I128_YMMqq_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, ymm, imm8|__m256i|__m256i,__m256i,const int,
322|_mm256_permute4x64_epi64|VPERMQ|VPERMQ_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
323|_mm256_permute4x64_pd|VPERMPD|VPERMPD_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256d|__m256d,const int,
324|_mm256_permutevar8x32_epi32|VPERMD|VPERMD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
325|_mm256_permutevar8x32_ps|VPERMPS|VPERMPS_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256|__m256,__m256i,
326|_mm256_sad_epu8|VPSADBW|VPSADBW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
327|_mm256_shuffle_epi32|VPSHUFD|VPSHUFD_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
328|_mm256_shuffle_epi8|VPSHUFB|VPSHUFB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
329|_mm256_shufflehi_epi16|VPSHUFHW|VPSHUFHW_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
330|_mm256_shufflelo_epi16|VPSHUFLW|VPSHUFLW_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
331|_mm256_sign_epi8|VPSIGNB|VPSIGNB_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
332|_mm256_sign_epi16|VPSIGNW|VPSIGNW_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
333|_mm256_sign_epi32|VPSIGND|VPSIGND_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
334|_mm256_slli_si256|VPSLLDQ|VPSLLDQ_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
335|_mm256_bslli_epi128|VPSLLDQ|VPSLLDQ_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,const int,
336|_mm256_sll_epi16|VPSLLW|VPSLLW_YMMqq_YMMqq_XMMq|AVX2|['AVX2']|ymm, ymm, xmm|__m256i|__m256i,__m128i,
337|_mm256_slli_epi16|VPSLLW|VPSLLW_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,int,
338|_mm256_sll_epi32|VPSLLD|VPSLLD_YMMqq_YMMqq_XMMq|AVX2|['AVX2']|ymm, ymm, xmm|__m256i|__m256i,__m128i,
339|_mm256_slli_epi32|VPSLLD|VPSLLD_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,int,
340|_mm256_sll_epi64|VPSLLQ|VPSLLQ_YMMqq_YMMqq_XMMq|AVX2|['AVX2']|ymm, ymm, xmm|__m256i|__m256i,__m128i,
341|_mm256_slli_epi64|VPSLLQ|VPSLLQ_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,int,
342|_mm_sllv_epi32|VPSLLVD|VPSLLVD_XMMdq_XMMdq_XMMdq|AVX2|['AVX2']|xmm, xmm, xmm|__m128i|__m128i,__m128i,
343|_mm256_sllv_epi32|VPSLLVD|VPSLLVD_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
344|_mm_sllv_epi64|VPSLLVQ|VPSLLVQ_XMMdq_XMMdq_XMMdq|AVX2|['AVX2']|xmm, xmm, xmm|__m128i|__m128i,__m128i,
345|_mm256_sllv_epi64|VPSLLVQ|VPSLLVQ_YMMqq_YMMqq_YMMqq|AVX2|['AVX2']|ymm, ymm, ymm|__m256i|__m256i,__m256i,
346|_mm256_sra_epi16|VPSRAW|VPSRAW_YMMqq_YMMqq_XMMq|AVX2|['AVX2']|ymm, ymm, xmm|__m256i|__m256i,__m128i,
347|_mm256_srai_epi16|VPSRAW|VPSRAW_YMMqq_YMMqq_IMMb|AVX2|['AVX2']|ymm, ymm, imm8|__m256i|__m256i,int,
348|_mm256_sra_epi32|VPSRAD|VPSRAD_YMMqq_YMMqq_XMMq|AVX2|['AVX2']|ymm, ymm, xmm|__m256i|__m256i,__m128i,
